Date;Weight
3-19-19;7.78
3-20-19;7.81
3-22-19;7.68
3-27-19;7.59
4-5-19;7.12
4-12-19;6.56
4-19-19;6.18
4-24-19;6.03
4-26-19;5.93
4-30-19;5.68
5-3-19;5.57
5-7-19;5.43
5-10-19;5.35
5-14-19;5.56
5-17-19;5.68
5-21-19;5.75
5-24-19;5.80
6-04-19;6.65
6-07-19;6.80
6-10-19;6.93
6-13-19;6.87
6-21-19;7.12
6-25-19;7.09
6-28-19;7.06
7-2-19;7.02
7-5-19;7.25
7-12-19;7.18
7-16-19;7.16
7-19-19;7.06
7-23-19;7.20
7-29-19;7.31
8-2-19;7.20
8-6-19;7.10
8-9-19;7.06
8-13-19;7.05
8-16-19;7.25
8-20-19;7.35
8-23-19;7.38
8-27-19;7.12
8-30-19;7.50
9-3-19;7.62
9-6-19;7.62
9-10-19;7.70
9-13-19;7.56
9-17-19;7.68
9-24-19;7.59
9-27-19;7.48
10-01-19;7.62
10-04-19;7.47
10-07-19;7.50
10-10-19;7.40
10-15-19;7.62
10-18-19;7.56
10-22-19;7.68

